"chrom","start","end","label","sgTarget","score"
"chr12",9886863,9887693,"chr",9887278,-33.076
"chr12",9886866,9887696,"chr",9887281,-37.297
"chr12",9886867,9887697,"chr",9887282,-13.715
"chr12",9886879,9887709,"chr",9887294,-25.348
"chr12",9886915,9887745,"chr",9887330,-34.059
"chr12",9886920,9887750,"chr",9887335,-33.08
"chr12",9886952,9887782,"chr",9887367,-31.064
"chr12",9887039,9887869,"chr",9887454,-15.616
"chr12",9887170,9888000,"chr",9887585,-25.99
"chr12",9887981,9888811,"chr",9888396,-27.983
"chr12",9888050,9888880,"chr",9888465,-42.177
"chr12",9888060,9888890,"chr",9888475,-13.123
"chr12",9888061,9888891,"chr",9888476,-23.32
"chr12",9888062,9888892,"chr",9888477,-39.995
"chr12",9888066,9888896,"chr",9888481,-16.27
"chr12",9888070,9888900,"chr",9888485,-31.143
"chr12",9888080,9888910,"chr",9888495,-39.499
"chr12",9888085,9888915,"chr",9888500,-30.855
"chr12",9888101,9888931,"chr",9888516,-24.524
"chr12",9888110,9888940,"chr",9888525,-13.359
"chr12",9888604,9889434,"chr",9889019,-4.322
"chr12",9888610,9889440,"chr",9889025,-38.394
"chr12",9888617,9889447,"chr",9889032,-41.618
"chr12",9888659,9889489,"chr",9889074,-31.034
"chr12",9888662,9889492,"chr",9889077,-11.689
"chr12",9888711,9889541,"chr",9889126,-21.556
"chr12",9888712,9889542,"chr",9889127,-11.301
"chr12",9888713,9889543,"chr",9889128,-13.056
"chr12",9888823,9889653,"chr",9889238,-23.664
"chr12",9888967,9889797,"chr",9889382,-10.566
"chr12",9889008,9889838,"chr",9889423,-29.046
"chr12",9889021,9889851,"chr",9889436,-57.725
"chr12",9889047,9889877,"chr",9889462,-14.261
"chr12",9889072,9889902,"chr",9889487,-23.03
"chr12",9889084,9889914,"chr",9889499,-14.029
"chr12",9889093,9889923,"chr",9889508,6.362
"chr12",9889154,9889984,"chr",9889569,-21.108
"chr12",9889157,9889987,"chr",9889572,-23.382
"chr12",9889178,9890008,"chr",9889593,-35.664
"chr12",9889185,9890015,"chr",9889600,-34.276
"chr12",9889190,9890020,"chr",9889605,-12.926
"chr12",9889208,9890038,"chr",9889623,-26.158
"chr12",9889209,9890039,"chr",9889624,-7.149
"chr12",9889210,9890040,"chr",9889625,-25.351
"chr12",9889214,9890044,"chr",9889629,-29.361
"chr12",9889361,9890191,"chr",9889776,-7.348
"chr12",9889455,9890285,"chr",9889870,-48.915
"chr12",9889461,9890291,"chr",9889876,-35.361
"chr12",9889494,9890324,"chr",9889909,-20.177
"chr12",9889569,9890399,"chr",9889984,-28.382
"chr12",9889636,9890466,"chr",9890051,-24.221
"chr12",9889651,9890481,"chr",9890066,-17.21
"chr12",9889761,9890591,"chr",9890176,-25.723
"chr12",9889774,9890604,"chr",9890189,-27.949
"chr12",9889791,9890621,"chr",9890206,-14.649
"chr12",9889867,9890697,"chr",9890282,-32.85
"chr12",9889872,9890702,"chr",9890287,14.077
"chr12",9889904,9890734,"chr",9890319,-15.857
"chr12",9889958,9890788,"chr",9890373,-19.123
"chr12",9889995,9890825,"chr",9890410,-34.602
"chr12",9890022,9890852,"chr",9890437,-20.373
"chr12",9890023,9890853,"chr",9890438,-13.642
"chr12",9890087,9890917,"chr",9890502,-20.36
"chr12",9890231,9891061,"chr",9890646,-7.303
"chr12",9890236,9891066,"chr",9890651,-24.002
"chr12",9890656,9891486,"chr",9891071,-39.248
"chr12",9890681,9891511,"chr",9891096,-23.447
"chr12",9890712,9891542,"chr",9891127,-29.989
"chr12",9890729,9891559,"chr",9891144,-16.457
"chr12",9890730,9891560,"chr",9891145,-7.165
"chr12",9890745,9891575,"chr",9891160,-15.958
"chr12",9890764,9891594,"chr",9891179,-31.244
"chr12",9890773,9891603,"chr",9891188,-13.87
"chr12",9890831,9891661,"chr",9891246,-35.664
"chr12",9890875,9891705,"chr",9891290,-38.764
"chr12",9890882,9891712,"chr",9891297,-32.39
"chr12",9890895,9891725,"chr",9891310,-30.228
"chr12",9890913,9891743,"chr",9891328,-22.954
"chr12",9890933,9891763,"chr",9891348,-28.775
"chr12",9891308,9892138,"chr",9891723,-39.122
"chr12",9891326,9892156,"chr",9891741,-28.654
"chr12",9891327,9892157,"chr",9891742,-29.475
"chr12",9891738,9892568,"chr",9892153,-34.19
"chr12",9891739,9892569,"chr",9892154,-33.185
"chr12",9891746,9892576,"chr",9892161,-19.61
"chr12",9891768,9892598,"chr",9892183,-23.063
"chr12",9891775,9892605,"chr",9892190,-27.911
"chr12",9891776,9892606,"chr",9892191,-34.942
"chr12",9892348,9893178,"chr",9892763,-29.599
"chr12",9892371,9893201,"chr",9892786,-35.636
"chr12",9892374,9893204,"chr",9892789,-54.428
"chr12",9892375,9893205,"chr",9892790,-28.221
"chr12",9892381,9893211,"chr",9892796,-22
"chr12",9892412,9893242,"chr",9892827,-11.075
"chr12",9892415,9893245,"chr",9892830,-19.877
"chr12",9892422,9893252,"chr",9892837,-18.218
"chr12",9892433,9893263,"chr",9892848,-19.238
"chr12",9892437,9893267,"chr",9892852,-25.303
"chr12",9892448,9893278,"chr",9892863,-19.673
"chr12",9892470,9893300,"chr",9892885,-22.175
"chr12",9892471,9893301,"chr",9892886,-17.014
"chr12",9892475,9893305,"chr",9892890,-33.718
"chr12",9892482,9893312,"chr",9892897,-23.026
"chr12",9892492,9893322,"chr",9892907,-21.016
"chr12",9892493,9893323,"chr",9892908,-32.603
"chr12",9892494,9893324,"chr",9892909,-34.652
"chr12",9892522,9893352,"chr",9892937,-32.457
"chr12",9892523,9893353,"chr",9892938,-6.073
"chr12",9892531,9893361,"chr",9892946,-35.835
"chr12",9892532,9893362,"chr",9892947,-23.119
"chr12",9892533,9893363,"chr",9892948,-33.014
"chr12",9892534,9893364,"chr",9892949,-22.13
"chr12",9892544,9893374,"chr",9892959,-26.493
"chr12",9892552,9893382,"chr",9892967,-28.921
"chr12",9892640,9893470,"chr",9893055,-47.143
"chr12",9892657,9893487,"chr",9893072,-35.2
"chr12",9892667,9893497,"chr",9893082,-17.163
"chr12",9892692,9893522,"chr",9893107,-20.354
"chr12",9892726,9893556,"chr",9893141,-24.109
"chr12",9892743,9893573,"chr",9893158,-45.839
"chr12",9892791,9893621,"chr",9893206,-35.358
"chr12",9892812,9893642,"chr",9893227,-27.196
"chr12",9892813,9893643,"chr",9893228,-38.426
"chr12",9892814,9893644,"chr",9893229,-20.868
"chr12",9892884,9893714,"chr",9893299,-25.555
"chr12",9892903,9893733,"chr",9893318,-22.243
"chr12",9892907,9893737,"chr",9893322,-22.115
"chr12",9892920,9893750,"chr",9893335,-14.659
"chr12",9892921,9893751,"chr",9893336,-22.701
"chr12",9892922,9893752,"chr",9893337,-21.215
"chr12",9892928,9893758,"chr",9893343,-6.722
"chr12",9893075,9893905,"chr",9893490,-36.378
"chr12",9893085,9893915,"chr",9893500,-38.731
"chr12",9893086,9893916,"chr",9893501,-27.885
"chr12",9893087,9893917,"chr",9893502,-28.747
"chr12",9893094,9893924,"chr",9893509,-19.772
"chr12",9893095,9893925,"chr",9893510,-32.787
"chr12",9893098,9893928,"chr",9893513,-40.428
"chr12",9893101,9893931,"chr",9893516,-9.79
"chr12",9893115,9893945,"chr",9893530,-3.215
"chr12",9893123,9893953,"chr",9893538,-25.812
"chr12",9893143,9893973,"chr",9893558,-19.846
"chr12",9893147,9893977,"chr",9893562,-25.03
"chr12",9893148,9893978,"chr",9893563,-32.926
"chr12",9893156,9893986,"chr",9893571,-21.592
"chr12",9893177,9894007,"chr",9893592,-50.258
"chr12",9893328,9894158,"chr",9893743,-34.529
"chr12",9893329,9894159,"chr",9893744,-15.391
"chr12",9893345,9894175,"chr",9893760,-31.965
"chr12",9893515,9894345,"chr",9893930,-21.086
"chr12",9893533,9894363,"chr",9893948,-9.389
"chr12",9893727,9894557,"chr",9894142,-22.589
"chr12",9893733,9894563,"chr",9894148,-25.512
"chr12",9893751,9894581,"chr",9894166,-30.643
"chr12",9893773,9894603,"chr",9894188,3.505
"chr12",9893786,9894616,"chr",9894201,-20.974
"chr12",9893787,9894617,"chr",9894202,-26.21
"chr12",9893806,9894636,"chr",9894221,-19.234
"chr12",9893867,9894697,"chr",9894282,-12.914
"chr12",9893966,9894796,"chr",9894381,-2.329
"chr12",9894033,9894863,"chr",9894448,12.47
"chr12",9894034,9894864,"chr",9894449,1.948
"chr12",9894035,9894865,"chr",9894450,-28.176
"chr12",9894066,9894896,"chr",9894481,-17.784
"chr12",9894067,9894897,"chr",9894482,0.522
"chr12",9894073,9894903,"chr",9894488,-26.508
"chr12",9894086,9894916,"chr",9894501,2.353
"chr12",9894186,9895016,"chr",9894601,-13.649
"chr12",9894187,9895017,"chr",9894602,-30.841
"chr12",9894190,9895020,"chr",9894605,-20.41
"chr12",9894208,9895038,"chr",9894623,-12.354
"chr12",9894230,9895060,"chr",9894645,-12.13
"chr12",9894234,9895064,"chr",9894649,-17.497
"chr12",9894311,9895141,"chr",9894726,-27.155
"chr12",9894388,9895218,"chr",9894803,-9.15
"chr12",9894442,9895272,"chr",9894857,-28.637
"chr12",9894443,9895273,"chr",9894858,-21.407
"chr12",9894525,9895355,"chr",9894940,-25.521
"chr12",9894530,9895360,"chr",9894945,-32.122
"chr12",9894534,9895364,"chr",9894949,-21.875
"chr12",9894849,9895679,"chr",9895264,-28.804
"chr12",9894927,9895757,"chr",9895342,-41.981
"chr12",9894928,9895758,"chr",9895343,-24.922
"chr12",9894929,9895759,"chr",9895344,-21.871
"chr12",9894930,9895760,"chr",9895345,-15.15
"chr12",9894935,9895765,"chr",9895350,-28.684
"chr12",9894940,9895770,"chr",9895355,-14.038
"chr12",9894942,9895772,"chr",9895357,-29.61
"chr12",9894943,9895773,"chr",9895358,-8.886
"chr12",9895047,9895877,"chr",9895462,-30.166
"chr12",9895059,9895889,"chr",9895474,-23.081
"chr12",9895081,9895911,"chr",9895496,-31.052
"chr12",9895134,9895964,"chr",9895549,-15.228
"chr12",9895140,9895970,"chr",9895555,-29.862
"chr12",9895152,9895982,"chr",9895567,-35.1
"chr12",9895156,9895986,"chr",9895571,-44.403
"chr12",9895170,9896000,"chr",9895585,-27.505
"chr12",9895306,9896136,"chr",9895721,-43.87
"chr12",9895309,9896139,"chr",9895724,-25.829
"chr12",9895328,9896158,"chr",9895743,-37.633
"chr12",9895329,9896159,"chr",9895744,-31.815
"chr12",9895333,9896163,"chr",9895748,-21.392
"chr12",9895392,9896222,"chr",9895807,-16.956
"chr12",9895403,9896233,"chr",9895818,-31.919
"chr12",9895429,9896259,"chr",9895844,-15.932
"chr12",9895449,9896279,"chr",9895864,-17.351
"chr12",9895456,9896286,"chr",9895871,-31.713
"chr12",9895458,9896288,"chr",9895873,-27.256
"chr12",9895459,9896289,"chr",9895874,-22.406
"chr12",9895460,9896290,"chr",9895875,-31.886
"chr12",9895461,9896291,"chr",9895876,-24.936
"chr12",9895803,9896633,"chr",9896218,-48.406
"chr12",9895806,9896636,"chr",9896221,-24.226
"chr12",9895811,9896641,"chr",9896226,-2.191
"chr12",9895812,9896642,"chr",9896227,-16.73
"chr12",9895816,9896646,"chr",9896231,-15.533
"chr12",9895859,9896689,"chr",9896274,-18.184
"chr12",9895875,9896705,"chr",9896290,-32.742
"chr12",9895879,9896709,"chr",9896294,-26.49
"chr12",9895912,9896742,"chr",9896327,-23.688
"chr12",9895980,9896810,"chr",9896395,-19.966
"chr12",9895990,9896820,"chr",9896405,-28.057
"chr12",9896079,9896909,"chr",9896494,-29.19
"chr12",9896093,9896923,"chr",9896508,13.414
"chr12",9896096,9896926,"chr",9896511,-23.687
"chr12",9896103,9896933,"chr",9896518,-14.22
"chr12",9896150,9896980,"chr",9896565,-28.37
"chr12",9896151,9896981,"chr",9896566,-18.788
"chr12",9896194,9897024,"chr",9896609,-22.262
"chr12",9896209,9897039,"chr",9896624,-31.913
"chr12",9896240,9897070,"chr",9896655,-13.728
"chr12",9896250,9897080,"chr",9896665,-55.188
"chr12",9896319,9897149,"chr",9896734,-19.172
"chr12",9896437,9897267,"chr",9896852,-17.599
"chr12",9896453,9897283,"chr",9896868,-54.57
"chr12",9896650,9897480,"chr",9897065,-16.512
"chr12",9896657,9897487,"chr",9897072,-28.862
"chr12",9896668,9897498,"chr",9897083,-25.828
"chr12",9896731,9897561,"chr",9897146,-12.407
"chr12",9896796,9897626,"chr",9897211,-8.623
"chr12",9896797,9897627,"chr",9897212,-20.663
"chr12",9896828,9897658,"chr",9897243,-19.235
"chr12",9896835,9897665,"chr",9897250,-23.919
"chr12",9896843,9897673,"chr",9897258,-0.66
"chr12",9896844,9897674,"chr",9897259,-27.265
"chr12",9896845,9897675,"chr",9897260,-24.92
"chr12",9896848,9897678,"chr",9897263,-11.087
"chr12",9896849,9897679,"chr",9897264,-9.38
"chr12",9896880,9897710,"chr",9897295,-23.877
"chr12",9896892,9897722,"chr",9897307,-39.048
"chr12",9896893,9897723,"chr",9897308,-27.188
"chr12",9896894,9897724,"chr",9897309,-23.036
"chr12",9896908,9897738,"chr",9897323,-29.13
"chr12",9896926,9897756,"chr",9897341,-25.324
"chr12",9896986,9897816,"chr",9897401,-7.585
"chr12",9897007,9897837,"chr",9897422,-17.961
"chr12",9897034,9897864,"chr",9897449,2.878
"chr12",9897035,9897865,"chr",9897450,-14.059
"chr12",9897049,9897879,"chr",9897464,-23.03
"chr12",9897060,9897890,"chr",9897475,-25.196
"chr12",9897061,9897891,"chr",9897476,-12.902
"chr12",9897067,9897897,"chr",9897482,-38.812
"chr12",9897109,9897939,"chr",9897524,-18.696
"chr12",9897130,9897960,"chr",9897545,-27.079
"chr12",9897140,9897970,"chr",9897555,-29.799
"chr12",9897187,9898017,"chr",9897602,-43.561
"chr12",9897200,9898030,"chr",9897615,-8.805
"chr12",9897219,9898049,"chr",9897634,-22.289
"chr12",9897267,9898097,"chr",9897682,-16.932
"chr12",9897303,9898133,"chr",9897718,-22.752
"chr12",9897310,9898140,"chr",9897725,-26.123
"chr12",9897355,9898185,"chr",9897770,-42.147
"chr12",9897356,9898186,"chr",9897771,-3.433
"chr12",9897377,9898207,"chr",9897792,-35.703
"chr12",9897405,9898235,"chr",9897820,-28.465
"chr12",9897422,9898252,"chr",9897837,-31.84
"chr12",9897423,9898253,"chr",9897838,-15.402
"chr12",9897441,9898271,"chr",9897856,-26.451
"chr12",9897462,9898292,"chr",9897877,-23.664
"chr12",9897477,9898307,"chr",9897892,-21.417
"chr12",9897478,9898308,"chr",9897893,-37.281
"chr12",9897479,9898309,"chr",9897894,-39.707
"chr12",9897486,9898316,"chr",9897901,-28.804
"chr12",9897507,9898337,"chr",9897922,-0.638
"chr12",9897538,9898368,"chr",9897953,-29.359
"chr12",9897541,9898371,"chr",9897956,-30.268
"chr12",9897550,9898380,"chr",9897965,-34.663
"chr12",9897559,9898389,"chr",9897974,-22.669
"chr12",9897562,9898392,"chr",9897977,-26.937
"chr12",9897569,9898399,"chr",9897984,-35.136
"chr12",9897570,9898400,"chr",9897985,-18.482
"chr12",9897571,9898401,"chr",9897986,-38.268
"chr12",9897589,9898419,"chr",9898004,-35.974
"chr12",9897608,9898438,"chr",9898023,-12.127
"chr12",9897781,9898611,"chr",9898196,-23.356
"chr12",9898171,9899001,"chr",9898586,-30.599
"chr12",9898627,9899457,"chr",9899042,-34.018
"chr12",9898628,9899458,"chr",9899043,-26.996
"chr12",9898637,9899467,"chr",9899052,-20.074
"chr12",9898751,9899581,"chr",9899166,-17.168
"chr12",9898926,9899756,"chr",9899341,-21.672
"chr12",9899078,9899908,"chr",9899493,-18.915
"chr12",9899126,9899956,"chr",9899541,-24.118
"chr12",9899135,9899965,"chr",9899550,-19.509
"chr12",9899146,9899976,"chr",9899561,-26.695
"chr12",9899152,9899982,"chr",9899567,-19.461
"chr12",9899163,9899993,"chr",9899578,-28.926
"chr12",9899206,9900036,"chr",9899621,-28.385
"chr12",9899268,9900098,"chr",9899683,-25.474
"chr12",9899280,9900110,"chr",9899695,-18.478
"chr12",9899296,9900126,"chr",9899711,-8.062
"chr12",9899355,9900185,"chr",9899770,-17.874
"chr12",9899378,9900208,"chr",9899793,-15.195
"chr12",9899385,9900215,"chr",9899800,-41.986
"chr12",9899386,9900216,"chr",9899801,-31.078
"chr12",9899387,9900217,"chr",9899802,-35.515
"chr12",9899406,9900236,"chr",9899821,-18.602
"chr12",9899409,9900239,"chr",9899824,-55.66
"chr12",9899412,9900242,"chr",9899827,-24.347
"chr12",9899433,9900263,"chr",9899848,-26.457
"chr12",9899448,9900278,"chr",9899863,-56.905
"chr12",9900005,9900835,"chr",9900420,-16.287
"chr12",9900018,9900848,"chr",9900433,-22.801
"chr12",9900076,9900906,"chr",9900491,-25.251
"chr12",9900130,9900960,"chr",9900545,-25.946
"chr12",9900268,9901098,"chr",9900683,-18.632
"chr12",9900428,9901258,"chr",9900843,-17.743
"chr12",9900440,9901270,"chr",9900855,-29.643
"chr12",9900458,9901288,"chr",9900873,-31.17
"chr12",9900572,9901402,"chr",9900987,-12.369
"chr12",9900677,9901507,"chr",9901092,-32.918
"chr12",9900706,9901536,"chr",9901121,-45.479
"chr12",9900972,9901802,"chr",9901387,-34.834
"chr12",9901062,9901892,"chr",9901477,-7.171
"chr12",9901066,9901896,"chr",9901481,-5.674
"chr12",9901069,9901899,"chr",9901484,-16.469
"chr12",9901070,9901900,"chr",9901485,-28.115
"chr12",9901071,9901901,"chr",9901486,-27.611
"chr12",9901112,9901942,"chr",9901527,-15.776
"chr12",9901654,9902484,"chr",9902069,-35.157
"chr12",9901998,9902828,"chr",9902413,-19.985
"chr12",9902001,9902831,"chr",9902416,-8.771
"chr12",9902002,9902832,"chr",9902417,-1.939
"chr12",9902005,9902835,"chr",9902420,-5.71
"chr12",9902006,9902836,"chr",9902421,-6.608
"chr12",9902007,9902837,"chr",9902422,-17.935
"chr12",9902059,9902889,"chr",9902474,-18.514
"chr12",9902065,9902895,"chr",9902480,-15.578
